Comment,Designator,Footprint,LCSC
"1 uF","C5","Capacitor_SMD:C_0805_2012Metric",""
"10 uF","C3,C6","Capacitor_SMD:C_1206_3216Metric",""
"D_Bridge_+-AA","D1","Diode_SMD:Diode_Bridge_Vishay_DFS",""
"LED","D2","LED_THT:LED_D3.0mm",""
"D_x2_KCom_AAK","D3","digikey-footprints:SOT-23-3",""
"Conn_01x10","J1","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"Q_NIGBT_GCE","Q1,Q2","Package_TO_SOT_SMD:TO-252-3_TabPin2",""
"MMBF170","Q3,Q4","Package_TO_SOT_SMD:SOT-23",""
"R","R1","Resistor_SMD:R_2512_6332Metric",""
"10K","R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"1K5","R3","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"ESP32-cam","U2","eit_footprints:ESP32-CAM",""
"LM7805_TO220","U3","Package_TO_SOT_THT:TO-220-3_Vertical",""